,Silence,tau_c,sub_id,ch
0,1,0.7094346641007696,33.0,0.0
1,1,0.6821066569273692,33.0,1.0
2,1,0.7100658388517997,33.0,2.0
3,1,0.6441987743634915,33.0,3.0
4,1,0.8242402428954336,33.0,4.0
5,1,0.7231603707835107,33.0,5.0
6,1,0.6616798262627959,33.0,6.0
7,1,0.3947854706807241,68.0,0.0
8,1,0.45733473667700436,68.0,1.0
9,1,0.4788569147661168,68.0,2.0
10,1,0.512936836519985,68.0,3.0
11,1,0.43849405451327916,68.0,4.0
12,1,0.3945862972104795,68.0,5.0
13,1,0.45680792923967256,68.0,6.0
14,1,0.41927545495225493,68.0,7.0
15,1,0.597289948501594,6.0,0.0
16,1,0.5033786295345271,6.0,1.0
17,1,0.5463221652152097,6.0,2.0
18,1,0.5497240018042698,6.0,3.0
19,1,0.4303723279876621,6.0,4.0
20,1,0.6566226780646572,6.0,5.0
21,1,0.5078138836932613,6.0,6.0
22,1,0.4866423599846651,6.0,7.0
23,1,0.5845887351235777,6.0,8.0
24,1,0.3015118682308931,6.0,9.0
25,1,0.8892068248561751,71.0,0.0
26,1,0.6905360770174693,71.0,1.0
27,1,0.6829231727289887,71.0,2.0
28,1,0.6800845588232527,71.0,3.0
29,1,0.906983754235279,71.0,4.0
30,1,0.6181447347662294,71.0,5.0
31,1,0.43734822215054925,40.0,0.0
32,1,0.32868390138027925,40.0,1.0
33,1,0.3970847337085187,40.0,2.0
34,1,0.38228209729769697,40.0,3.0
35,1,0.39366099093671236,40.0,4.0
36,1,0.3932464954756905,40.0,5.0
37,1,0.7246247354098254,45.0,0.0
38,1,0.6468476782964061,45.0,1.0
39,1,0.6452503819587998,45.0,2.0
40,1,0.5661623916218764,45.0,3.0
41,1,0.646640007616369,45.0,4.0
42,1,0.7594914269832571,45.0,5.0
43,1,0.7298690770370257,45.0,6.0
44,1,0.5956415788912051,45.0,7.0
45,1,0.5548904409812484,45.0,8.0
46,1,0.5715660791746682,14.0,0.0
47,1,0.5301251650187244,14.0,1.0
48,1,0.6371811326929292,14.0,2.0
49,1,0.6769969485728585,14.0,3.0
50,1,0.6552471279013655,14.0,4.0
51,1,0.692378918489751,46.0,0.0
52,1,0.8633259451550506,46.0,1.0
53,1,0.7574512432178805,46.0,2.0
54,1,0.8442441774850902,46.0,3.0
55,1,0.8478866078531891,46.0,4.0
56,1,0.7538641646722085,46.0,5.0
57,1,0.6855156150890193,46.0,6.0
58,1,0.6012081649204808,46.0,7.0
59,1,0.6044435376928567,49.0,0.0
60,1,0.4165891900766994,49.0,1.0
61,1,0.4088770292566466,49.0,2.0
62,1,0.5059805562087288,49.0,3.0
63,1,0.5080512818236707,49.0,4.0
64,1,0.5717955934683905,49.0,5.0
65,1,0.558645567762406,49.0,6.0
66,1,0.6349639148507349,49.0,7.0
67,1,0.6299862721588758,49.0,8.0
68,1,0.6241069437874492,49.0,9.0
69,1,0.6908000936734776,58.0,0.0
70,1,0.6128810620887364,58.0,1.0
71,1,0.5837369781288727,58.0,2.0
72,1,0.6277504306350803,58.0,3.0
73,1,0.6147508396998117,58.0,4.0
74,1,0.6731060719330915,58.0,5.0
75,1,0.5807887829620193,58.0,6.0
76,1,0.660209838259484,58.0,7.0
77,1,0.6163752238835788,58.0,8.0
78,1,1.0118073510269774,58.0,9.0
79,1,0.6645986609200341,30.0,0.0
80,1,0.6068763346836545,30.0,1.0
81,1,0.6075488327562437,30.0,2.0
82,1,0.47987438129545573,30.0,3.0
83,1,0.6304024394914006,30.0,4.0
84,1,0.4362389595454204,30.0,5.0
85,1,0.4213033911179416,30.0,6.0
86,1,0.3702239454241352,30.0,7.0
87,1,0.3601021899427151,30.0,8.0
88,1,0.4385649651439071,30.0,9.0
89,2,0.7363133585155948,33.0,0.0
90,2,0.8592948579378674,33.0,1.0
91,2,0.6938118812465229,33.0,2.0
92,2,0.5842257538454678,33.0,3.0
93,2,0.5928964025017948,33.0,4.0
94,2,0.8523598473437626,33.0,5.0
95,2,0.5153557436615919,33.0,6.0
96,2,0.5881134909109074,33.0,7.0
97,2,0.7017291694239536,33.0,8.0
98,2,0.5235418791702242,68.0,0.0
99,2,0.5546760268430453,68.0,1.0
100,2,0.5972709541545643,68.0,2.0
101,2,0.6131689536121694,68.0,3.0
102,2,0.4955461324709076,68.0,4.0
103,2,0.5051952494989397,68.0,5.0
104,2,0.5574184175011068,68.0,6.0
105,2,0.5790647753941097,68.0,7.0
106,2,0.7952961791663307,68.0,8.0
107,2,0.618969413746437,6.0,0.0
108,2,0.4992729492016069,6.0,1.0
109,2,0.5271787220652886,6.0,2.0
110,2,0.5483700949197896,6.0,3.0
111,2,0.5271529048613867,6.0,4.0
112,2,0.5473258004994379,6.0,5.0
113,2,0.4985770185968542,6.0,6.0
114,2,0.47484630779503767,6.0,7.0
115,2,0.5052810760378468,6.0,8.0
