,Silence,tau_c,sub_id,ch
0,1,0.6014859257048027,64.0,0.0
1,1,0.6426827075619496,64.0,1.0
2,1,0.8215914176043706,64.0,2.0
3,1,0.7455103872989287,64.0,3.0
4,1,0.7461401739925156,64.0,4.0
5,1,0.4798501067135062,64.0,5.0
6,1,0.47086793434732055,64.0,6.0
7,1,0.42907164330521413,64.0,7.0
8,1,0.6781204316879852,64.0,8.0
9,1,0.8658406039478925,35.0,0.0
10,1,0.5138169949008334,35.0,1.0
11,1,0.6045196145057263,35.0,2.0
12,1,0.5132643438815216,35.0,3.0
13,1,0.7635950581625575,35.0,4.0
14,1,0.6903600526906457,35.0,5.0
15,1,0.44644323379376705,35.0,6.0
16,1,0.40506020864575043,35.0,7.0
17,1,0.5097689271045518,35.0,8.0
18,1,0.43691914619093447,5.0,0.0
19,1,0.4509775900321657,5.0,1.0
20,1,0.4906313144328123,5.0,2.0
21,1,0.6691918749306035,5.0,3.0
22,1,0.5859757144852251,5.0,4.0
23,1,0.5298979384524837,5.0,5.0
24,1,0.7597515050001301,5.0,6.0
25,1,0.2654414796587366,17.0,0.0
26,1,0.42829476976922476,17.0,1.0
27,1,0.44007940966744086,17.0,2.0
28,1,0.405794326838222,17.0,3.0
29,1,0.4072647938971647,17.0,4.0
30,1,0.6161989623886953,17.0,5.0
31,1,0.3769367251765467,17.0,6.0
32,1,0.2968892442601385,17.0,7.0
33,1,0.28862641927655347,17.0,8.0
34,1,0.5184369015324686,17.0,9.0
35,1,0.5917122108206497,19.0,0.0
36,1,0.4806856757773215,19.0,1.0
37,1,0.620919864260621,19.0,2.0
38,1,0.5281648440304354,19.0,3.0
39,1,0.4756034543565839,19.0,4.0
40,1,0.4464105331371376,19.0,5.0
41,1,0.37775824284044907,19.0,6.0
42,1,0.4844542296964637,19.0,7.0
43,1,0.30374860166073525,19.0,8.0
44,1,0.6330077755054455,52.0,0.0
45,1,0.6287995316666998,52.0,1.0
46,1,0.8241821217700969,52.0,2.0
47,1,0.8586020422072304,52.0,3.0
48,1,0.8655223435693732,52.0,4.0
49,1,0.8058818015600336,52.0,5.0
50,1,0.49482796939672097,52.0,6.0
51,1,0.7665506210938184,52.0,7.0
52,1,0.8592300423711068,52.0,8.0
53,1,0.6697492581477025,52.0,9.0
54,1,0.5331369890920948,23.0,0.0
55,1,0.3961504622372058,23.0,1.0
56,1,0.48413351994572396,23.0,2.0
57,1,0.42549497874916214,23.0,3.0
58,1,0.5960785816860479,23.0,4.0
59,1,0.4324711835467942,23.0,5.0
60,1,0.5254951173663801,23.0,6.0
61,1,0.8710349630286157,23.0,7.0
62,1,0.8617821355411811,27.0,0.0
63,1,0.8515816364240363,27.0,1.0
64,1,0.764774104766613,27.0,2.0
65,1,0.636571881102656,27.0,3.0
66,1,0.51530135966514,27.0,4.0
67,1,0.47569137334513895,27.0,5.0
68,1,0.48134489289664667,27.0,6.0
69,1,0.7289558130082209,62.0,0.0
70,1,0.41653590406305374,62.0,1.0
71,1,0.4260567086361461,62.0,2.0
72,1,0.48845150193742787,62.0,3.0
73,1,0.7409377901075814,62.0,4.0
74,1,0.5864147206455065,62.0,5.0
75,1,0.5535326814107706,62.0,6.0
76,2,0.5392856630312932,64.0,0.0
77,2,0.6279870323211072,64.0,1.0
78,2,0.7399721726735754,64.0,2.0
79,2,0.6368162339918434,64.0,3.0
80,2,0.6504620716879106,64.0,4.0
81,2,0.6845573618666682,64.0,5.0
82,2,0.6098963977534821,64.0,6.0
83,2,0.6532929672902172,64.0,7.0
84,2,0.5319511407887186,64.0,8.0
85,2,0.6807285854778417,64.0,9.0
86,2,0.48830233203642726,35.0,0.0
87,2,0.5472398384407061,35.0,1.0
